********
* The Activity Log contains a detailed list of the steps the Evernote application performs,
* as well as information about your account and your device. Your Note titles, tags,
* Notebook names and occasionally Note content also may be included. We treat your
* Activity Log data as confidential, and the terms of our Privacy Policy apply (http://evernote.com/privacy).
*
* You may remove anything you do not want to send us.
********


[14360] Log opened on 2018/02/22 23:36:05 (UTC+8:00), logging level: [INFO   ]

23:36:05 [INFO   ] [14360] [14404] Command line: "D:\印象笔记\BasicInstallation\Evernote.exe" 
23:36:05 [INFO   ] [14360] [14404] Evernote for Windows 6.8.7.6387 (306387) Public
23:36:05 [INFO   ] [14360] [14404] Client info: Evernote Windows/306387 (zh-CN, DDL); Windows/10.0.0 (Win64);
23:36:05 [INFO   ] [14360] [14404] Common Editor: ce-1.36.3494 (055790cb2f8e377acafe8df193c8920bbec1e128)
23:36:05 [INFO   ] [14360] [14404] Bootstrap info: Evernote-China,Evernote (loadedLastUsed)
23:36:12 [INFO   ] [9340] [15028] Starting EvernoteSubprocess.exe
23:36:12 [INFO   ] [9340] [15028]  * Command-line params: --type=gpu-process --no-sandbox --lang=zh-CN --log-file="D:\印象笔记\Logs\cef.log" --log-severity=disable --product-version="Evernote Windows/306387 (zh-CN, DDL); Windows/10.0.0 (Win64);" --gpu-vendor-id=0x8086 --gpu-device-id=0x0416 --gpu-driver-vendor="Intel Corporation" --gpu-driver-version=20.19.15.4549 --gpu-driver-date=11-10-2016 --gpu-secondary-vendor-ids=0x10de --gpu-secondary-device-ids=0x1391 --lang=zh-CN --log-file="D:\印象笔记\Logs\cef.log" --log-severity=disable --product-version="Evernote Windows/306387 (zh-CN, DDL); Windows/10.0.0 (Win64);" --service-request-channel-token=BFD318198A3A7A07236CA62025256991 --mojo-platform-channel-handle=1648 /prefetch:2
23:36:13 [INFO   ] [14360] [11384] Requesting bootstrap info from "app.yinxiang.com" (zh-CN)
23:36:14 [INFO   ] [14360] [11384] Bootstrap info: request to "app.yinxiang.com" returned profiles: Evernote-China,Evernote
23:36:14 [INFO   ] [14360] [11384] Bootstrap info: Evernote-China,Evernote (loadedFresh)
23:36:14 [INFO   ] [14360] [11384] Set the service host to "app.yinxiang.com"
23:36:17 [INFO   ] [14360] [14404] Registered session count: 1, last session: 2018/02/22 23:30:00
23:36:17 [INFO   ] [14360] [14404] Loaded session count: 28, last session: 2018/02/22 23:15:00
23:36:18 [INFO   ] [14360] [15096] Sync rate configuration changed:
23:36:18 [INFO   ] [14360] [15096] * syncStateIntervalMillis=900000
23:36:18 [INFO   ] [14360] [15096] * updateNoteWhenIdleForMillis=30000
23:36:18 [INFO   ] [14360] [15096] * updateNoteDuringEditIntervalMillis=60000
23:36:18 [INFO   ] [14360] [14404] CInAppMessageUpSellImpl::CInAppMessageUpSellImpl: UtilityStoreClient update begin
23:36:18 [INFO   ] [14360] [14404] UpSell: TsdEligibility: Show:0 NewCheck:2018/02/23 23:36:18
23:36:18 [INFO   ] [14360] [14404] CInAppMessageUpSellImpl::CInAppMessageUpSellImpl: UtilityStoreClient update complete
23:36:18 [INFO   ] [14360] [14404] Opened database: D:\印象笔记\Databases\1528038517#app.yinxiang.com.exb (46.6 MB Fixed 30.8 GB free)
23:36:18 [INFO   ] [14360] [14404] * email: 1528038517@qq.com
23:36:18 [INFO   ] [14360] [14404] * user: 13625279
