********
* The Activity Log contains a detailed list of the steps the Evernote application performs,
* as well as information about your account and your device. Your Note titles, tags,
* Notebook names and occasionally Note content also may be included. We treat your
* Activity Log data as confidential, and the terms of our Privacy Policy apply (http://evernote.com/privacy).
*
* You may remove anything you do not want to send us.
********


[1452] Log opened on 2018/02/16 07:39:26 (UTC+8:00), logging level: [INFO   ]

07:39:26 [INFO   ] [1452] [1656] Command line: "D:\印象笔记\BasicInstallation\Evernote.exe" 
07:39:26 [INFO   ] [1452] [1656] Evernote for Windows 6.8.7.6387 (306387) Public
07:39:26 [INFO   ] [1452] [1656] Client info: Evernote Windows/306387 (zh-CN, DDL); Windows/10.0.0 (Win64);
07:39:26 [INFO   ] [1452] [1656] Common Editor: ce-1.36.3494 (055790cb2f8e377acafe8df193c8920bbec1e128)
07:39:26 [INFO   ] [1452] [1656] Bootstrap info: Evernote-China,Evernote (loadedLastUsed)
07:39:31 [INFO   ] [11052] [2384] Starting EvernoteSubprocess.exe
07:39:31 [INFO   ] [11052] [2384]  * Command-line params: --type=gpu-process --no-sandbox --lang=zh-CN --log-file="C:\Users\Administrator\Evernote\Logs\cef.log" --log-severity=disable --product-version="Evernote Windows/306387 (zh-CN, DDL); Windows/10.0.0 (Win64);" --gpu-vendor-id=0x8086 --gpu-device-id=0x0416 --gpu-driver-vendor="Intel Corporation" --gpu-driver-version=20.19.15.4549 --gpu-driver-date=11-10-2016 --gpu-secondary-vendor-ids=0x10de --gpu-secondary-device-ids=0x1391 --lang=zh-CN --log-file="C:\Users\Administrator\Evernote\Logs\cef.log" --log-severity=disable --product-version="Evernote Windows/306387 (zh-CN, DDL); Windows/10.0.0 (Win64);" --service-request-channel-token=7EF44334055C59321F6E6457E682972C --mojo-platform-channel-handle=1512 /prefetch:2
07:39:32 [INFO   ] [1452] [11156] Requesting bootstrap info from "app.yinxiang.com" (zh-CN)
07:39:32 [ERROR  ] [1452] [5760] 0% Can't send HTTP request, error: INTERNET_NAME_NOT_RESOLVED
07:39:32 [ERROR  ] [1452] [11156] 0% Can't send HTTP request, error: INTERNET_NAME_NOT_RESOLVED
07:39:32 [ERROR  ] [1452] [11156] Bootstrap info: request to "app.yinxiang.com" failed, error: timeout
07:39:32 [INFO   ] [1452] [5760] GA-TEA: Failed to send event (error(800c0005): 系统无法找到指定的资源。)
07:39:32 [INFO   ] [1452] [5760] GA-TEA: Failed to send event (error(800c0005): 系统无法找到指定的资源。)
07:39:35 [INFO   ] [1452] [1656] Registered session count: 1, last session: 2018/02/16 07:30:00
07:39:35 [INFO   ] [1452] [1656] Set the service host to "app.yinxiang.com"
07:39:35 [ERROR  ] [1452] [10620] 0% Can't send HTTP request, error: INTERNET_NAME_NOT_RESOLVED
07:39:35 [INFO   ] [1452] [1656] Loaded session count: 0, last session: (none)
07:39:35 [INFO   ] [1452] [5760] GA-TEA: Failed to send event (error(800c0005): 系统无法找到指定的资源。)
07:39:35 [INFO   ] [1452] [1656] CInAppMessageUpSellImpl::CInAppMessageUpSellImpl: UtilityStoreClient update begin
07:39:35 [ERROR  ] [1452] [1656] 0% Can't send HTTP request, error: INTERNET_NAME_NOT_RESOLVED
07:39:35 [INFO   ] [1452] [1656] CInAppMessageUpSellImpl::CInAppMessageUpSellImpl: UtilityStoreClient update complete
07:39:35 [INFO   ] [1452] [5760] GA-TEA: Failed to send event (error(800c0005): 系统无法找到指定的资源。)
07:39:35 [INFO   ] [1452] [5760] GA-GA: Failed to send event (error(800c0005): 系统无法找到指定的资源。)
